,x,x,R,R,H,H,mu,mu,syn_H,syn_H
,0,1,0,1,0,1,0,1,0,1
4,0.11,0.1,0.1852626785048913,0.1948840360378571,0.0316425714681464,0.0346744324782737,,,,
14,0.108791781761808,0.098791781761808,0.187732162046388,0.198175145943155,0.0319575394398544,0.0351382926852764,-0.0011105785920827312,-0.0012229946830041797,-3.994561986741353e-06,3.412075576331923e-06
24,0.1091142960434204,0.0992427169654689,0.1851484811190236,0.1955823344973036,0.0318578169929542,0.0350189069446121,0.00029557472605062695,0.0004543761169071927,-5.558791597566413e-07,3.973180889397134e-06
34,0.1101433387897229,0.1004013788173336,0.1827109210640602,0.1930667934069138,0.0315649681124045,0.0346953900540704,0.0009342759694865144,0.0011540298206190313,2.0550313005753652e-07,7.687825706236305e-06
44,0.1115994954290627,0.1018518068618885,0.1824123446521831,0.1924911614555601,0.0311723106137314,0.0343450776834873,0.0013048057553856805,0.001424057254597042,1.4080604301568137e-06,1.3878119976559325e-05
54,0.1136795726711067,0.1038263916321737,0.183260967656374,0.1944030003407777,0.0306313661638627,0.0339757572807775,0.001829772221313681,0.0019018139215321896,1.953977920653845e-06,2.7683527920201057e-05
64,0.1173605493678485,0.1073367867541585,0.1832128906794949,0.1955637952502784,0.0297334484697906,0.033408595802014,0.0031364685293048004,0.0032704492356613194,3.466255985994199e-06,5.254496872886489e-05
74,0.1221731486049076,0.1118788891037335,0.1847454263208237,0.1978656888376731,0.0286576898542737,0.032985154590963,0.003939162812789938,0.004059838621890129,5.311444622732367e-06,9.157028345230814e-05
84,0.1279943656155819,0.1175396415142213,0.1872880373018332,0.1998240734402782,0.0274769113246808,0.0329293311837709,0.004548025987454573,0.004816036817504585,6.887853800343011e-06,0.0001530065306376322
94,0.1350214292511538,0.1245397795044064,0.1880195968791228,0.1986543386615217,0.0261798898376248,0.0334912616138291,0.005204406200219402,0.005620804868967521,6.548632286395569e-06,0.0002444408893526956
104,0.1434972522358747,0.1328761374108807,0.1856505030461334,0.1935531254285075,0.0247838295420649,0.0349865905177715,0.005906609954306798,0.006273781033156124,6.7823847230133656e-06,0.00036903109839943446
114,0.153506376367933,0.142616598862645,0.1813777090569319,0.1861786474712934,0.0233199197401114,0.0376234427428411,0.00652033118680871,0.006829823126791435,5.6626197599744885e-06,0.00052064668186153
124,0.1649572033865607,0.15383337804094,0.1754681263879035,0.1792398847749378,0.0218462985021978,0.0414777576944525,0.0069416956541108665,0.007291511972980179,4.288231579755233e-06,0.0006878670620026109
134,0.1781290283717556,0.1664119069697276,0.1679096874011597,0.1713167936269409,0.0203677553778715,0.0465455166654682,0.007394541532952886,0.007558671226017378,2.7559006420651417e-06,0.0008585981546209572
144,0.1933926055031104,0.1804908125450829,0.1588940856383021,0.1646024211313504,0.0188995053081117,0.0526580061312674,0.007892533994072139,0.0078003447249364415,2.339981139438485e-06,0.0010219995469316222
154,0.2112997786007061,0.1964507993730481,0.1498859149971112,0.1577312724969742,0.0174290669301021,0.0594803309236767,0.008474771349114818,0.008124164869219068,6.635192600737991e-07,0.001165460494140589
