,x,x,R,R,H,H,mu,mu,syn_H,syn_H
,0,1,0,1,0,1,0,1,0,1
4,0.102,0.105,0.115280352,0.117656899,0.035318987,0.034427425,,,,
14,0.103359246,0.1066613,0.115939383,0.121724206,0.034822382,0.033827331,0.0013150695778102023,0.0015575471140891817,-3.866644804914825e-06,-7.321738223610029e-06
24,0.104595476,0.107769762,0.114865219,0.121756352,0.034380628,0.033429374,0.0011819153631463036,0.0010285463931895892,-3.540407572181581e-06,-5.412037945714613e-06
34,0.105466195,0.108599889,0.12022226,0.122224878,0.034082461,0.033184698,0.0008255906074927535,0.0007643902840453179,-1.6785403181621128e-06,8.984607301781679e-07
44,0.106895592,0.110120548,0.126534531,0.124623662,0.033632093,0.032839858,0.001337189844086367,0.001380903952639242,-6.430680503177006e-08,1.0864689716311526e-05
54,0.110190699,0.113548886,0.133239623,0.12951417,0.032643957,0.032195136,0.0029903676352937966,0.003019261677300826,-1.196167499277679e-06,3.2733340320288185e-05
64,0.116707059,0.120262731,0.139835933,0.133378169,0.030863117,0.031273729,0.00558351830286461,0.005582648044139291,-5.75922134704834e-06,8.244952203479233e-05
74,0.127514938,0.131569558,0.143191146,0.136526663,0.028329117,0.030185886,0.00847577481471229,0.008593801766819042,-1.3288783608362008e-05,0.000150627220439798
84,0.144247938,0.148982315,0.140403216,0.135238086,0.025147035,0.028994319,0.011600165820047978,0.011687801334003971,-2.6498424117449672e-05,0.00021972314028673696
94,0.167458475,0.173433174,0.132951804,0.129730045,0.021773178,0.027963936,0.013860473171035389,0.01409814422239657,-3.5599150482822095e-05,0.00029120130275386716
104,0.197319688,0.205598485,0.123515286,0.120479609,0.018595988,0.027272082,0.015133417908100482,0.015644721798412087,-3.6298142181978306e-05,0.00035747873575348206
114,0.234147188,0.245852631,0.113504008,0.11041274,0.015791916,0.026967142,0.015728354593778,0.01637328257837517,-3.202634543684384e-05,0.00041104663629716934
124,0.278579441,0.294755627,0.10382808,0.100171582,0.013384457,0.026999381,0.015949580787621716,0.016591030508130055,-2.7269421780050894e-05,0.0004511714538716269
134,0.331879065,0.352597165,0.093636996,0.090275201,0.011342027,0.027390219,0.016059953646066827,0.016404425146186292,-2.2090572127561744e-05,0.0004884045973231497
144,0.394861388,0.418651419,0.083330656,0.081262235,0.009639316,0.028364208,0.015950489187866606,0.015777864591449055,-1.6519294363570325e-05,0.0005449255330676958
154,0.4678312,0.491970454,0.073290726,0.073670735,0.008237932,0.030257335,0.015597465923606639,0.014903137862014774,-1.1647536349011339e-05,0.000640241934842165
164,0.548960085,0.571390577,0.064566734,0.066861827,0.007117731,0.033429957,0.014778649161714558,0.013899445702619622,-6.8296507235402225e-06,0.0007819200721624092
174,0.635280665,0.655223671,0.056954412,0.06092645,0.006249421,0.038317848,0.013587786431372026,0.012794576525609077,-1.915202132268671e-06,0.0009790497385326565
184,0.720528533,0.738160608,0.050867364,0.056365428,0.005617483,0.045155336,0.011831296624029732,0.011235622180478104,3.2683076534444782e-06,0.0011910970947285409
194,0.799937137,0.816061704,0.046312106,0.053086295,0.005175542,0.053214691,0.009926855539899762,0.009545981096547076,7.182757774683856e-06,0.0013139219343445943
204,0.873484472,0.888667459,0.042923522,0.05007494,0.00485634,0.061633125,0.008419993412315634,0.008170182700478515,8.970150807964882e-06,0.0013453972916514295
214,0.942723593,0.957360064,0.040253133,0.047701764,0.004615675,0.070369672,0.007344583450984022,0.00717521103951125,9.833710220120659e-06,0.0013785719473811855
224,1.00782294,1.021439704,0.038105859,0.045956841,0.004428683,0.079916256,0.006459403176514327,0.006273462814208376,9.907449037975045e-06,0.001456010060266758
234,1.070201858,1.082973843,0.036350184,0.04473488,0.004270674,0.090549239,0.005828705821589018,0.005681959855054406,9.091602405908883e-06,0.0015777954409037266
244,1.130364091,1.143760134,0.034814193,0.043875052,0.004131612,0.102634036,0.0053223765226632636,0.005314601304332583,8.083794709553753e-06,0.0017539386815945167
254,1.185104996,1.201619565,0.033683398,0.043740151,0.004022077,0.116484984,0.004619076384351017,0.004815120582694557,7.624780886741383e-06,0.0019459840440332462
264,1.231673109,1.252759073,0.032862929,0.044030591,0.003945189,0.131795406,0.0037808824971269197,0.004082150279505509,7.227496037957676e-06,0.0020690508534404422
274,1.269385589,1.296074409,0.032416096,0.044706439,0.003902087,0.147395415,0.0029709239120722488,0.003342040834940985,7.282603575286249e-06,0.002052602395813073
284,1.299688885,1.332039792,0.032133573,0.045729412,0.003883746,0.162281698,0.0023315807613450363,0.002700023168677228,7.221167455550754e-06,0.001926792644452281
294,1.323887589,1.360464514,0.03239106,0.047000768,0.003885196,0.17591614,0.001827851866054469,0.0020893394651233083,7.246562758587365e-06,0.0017309927338541567
304,1.343285468,1.382958246,0.033008606,0.048528965,0.00390178,0.18788818,0.00144406229815627,0.0016264939353780056,7.292813393700176e-06,0.00150280298529921
314,1.359220804,1.401182929,0.034100771,0.05040334,0.003928455,0.198023491,0.0011723875880287127,0.0013006640762463864,7.2731718821293245e-06,0.0012710931409966003
324,1.372812736,1.416223088,0.035774617,0.052773273,0.003957092,0.206397229,0.0009900791013640461,0.0010619908069172783,6.781534091374832e-06,0.0010565657597711995
334,1.384741545,1.428813878,0.038132215,0.055763238,0.003987162,0.213122686,0.0008614466030193411,0.0008812057465192092,6.441727160587811e-06,0.0008603506356168109
344,1.395714528,1.440321405,0.041050528,0.059627104,0.004014375,0.218273839,0.0007861910713019422,0.0007989554942426213,5.877365781857723e-06,0.0006895063829184785
354,1.406004573,1.450670143,0.044770008,0.064227174,0.004036885,0.222160856,0.0007318642625780322,0.0007133763695307559,5.205451863637308e-06,0.0005471860049051243
364,1.415473859,1.459739487,0.049087279,0.069493076,0.004057769,0.224869571,0.000668983460188372,0.0006212988057642395,4.802980346265163e-06,0.0004105826959150169
374,1.423932767,1.467477713,0.053990631,0.075347296,0.004077992,0.226797431,0.0005940524859064454,0.0005273147204519125,4.444841285106574e-06,0.00031237962392697725
384,1.43062288,1.474100379,0.059686901,0.081622929,0.004100133,0.228091095,0.0004676363766809118,0.00044926831946767606,4.13147134002982e-06,0.00023184050293619202
394,1.435225044,1.479598108,0.066164456,0.08798327,0.004124786,0.228923101,0.0003206580054632895,0.0003715690747558057,3.787945651722935e-06,0.00016826134482879947
404,1.437853943,1.483562658,0.073233121,0.094756159,0.004153161,0.229850649,0.00018283491260001026,0.00026723171944383533,3.5968428284487466e-06,0.0001541781841475515
414,1.438534078,1.486119197,0.081220288,0.101793675,0.004182871,0.231081914,4.727972805105015e-05,0.00017202785652461824,3.1687650033526743e-06,0.0001628790263470271
424,1.437577699,1.487392441,0.089768207,0.108671229,0.004215623,0.232535831,-6.652711715445214e-05,8.560242508317549e-05,2.9947467547999577e-06,0.00016529733105233134
434,1.435866667,1.487511906,0.098353478,0.115395274,0.004246997,0.23430014,-0.00011916371062327901,8.031196222239905e-06,2.631312078474047e-06,0.00017831261039923744
444,1.43399044,1.486671638,0.106600627,0.121720852,0.004276386,0.236400898,-0.00013083957519269772,-5.652008005818443e-05,2.3793794724000326e-06,0.00019671440231921412
454,1.432060906,1.485580794,0.113994712,0.12753503,0.004303116,0.238435137,-0.00013473826370902036,-7.342878989858052e-05,2.0932056216214936e-06,0.00018591589642078706
464,1.430404717,1.484306082,0.119984713,0.132481074,0.004328793,0.240441052,-0.00011578464334719994,-8.587932202517692e-05,2.0664922463711432e-06,0.0001799425854672194
474,1.42916449,1.482977305,0.124597053,0.136810973,0.004351776,0.242460451,-8.677986394694414e-05,-8.960197809636166e-05,1.9206534707924087e-06,0.00018021496398026456
484,1.428352956,1.481742206,0.12795081,0.140380474,0.004371731,0.244557052,-5.681606892688181e-05,-8.33545130184306e-05,1.7471154301742461e-06,0.00018927516602531733
494,1.428302214,1.480653946,0.130221431,0.143185141,0.004388209,0.246617358,-3.552609489968383e-06,-7.349860532502522e-05,1.6322104070625813e-06,0.00018790456813805873
504,1.429194,1.479847684,0.131747998,0.145059589,0.00440297,0.248484584,6.239782702699367e-05,-5.448276932262996e-05,1.750835760465071e-06,0.0001731844717296983
514,1.430807051,1.479590999,0.132718498,0.146552134,0.00441417,0.250052746,0.00011273714361922483,-1.734837533977792e-05,1.617640917249701e-06,0.00015247819110764826
524,1.432884286,1.480000525,0.133603149,0.147526167,0.004423437,0.251131044,0.000144968789196423,2.7670665860059908e-05,1.5679603059766012e-06,0.00011477876320561532
534,1.435272904,1.481093156,0.134399881,0.148001241,0.004432123,0.251569107,0.00016642256628291506,7.37719295760571e-05,1.6062052837415259e-06,6.236503844511443e-05
544,1.437550056,1.482827339,0.135175171,0.148430134,0.004442703,0.251510632,0.00015840505800098582,0.00011695110781876032,1.7617466263962021e-06,2.3566947040596322e-05
554,1.439509343,1.484994431,0.135780743,0.148962631,0.004452405,0.251169987,0.0001361079738403637,0.00014593266848420206,1.576207823266737e-06,2.589406446049504e-06
564,1.441180407,1.487298687,0.136336163,0.149396504,0.00446384,0.250658097,0.0001159510628845195,0.00015492893392166014,1.661086992546408e-06,-1.2354808252953855e-05
574,1.44258665,1.489512947,0.136491099,0.149641119,0.004476391,0.250252225,9.748066086705559e-05,0.00014865664675554595,1.6914615529792932e-06,-3.3855433883885275e-06
584,1.443769061,1.491411499,0.136661555,0.150282244,0.004490849,0.25007371,8.189751615684816e-05,0.00012729900508834073,1.8135893785354833e-06,1.3982634481751226e-05
594,1.444880977,1.492952196,0.136812419,0.150767706,0.00450498,0.250118617,7.695554289243958e-05,0.0001031980129121318,1.7597831816195516e-06,3.030244426672884e-05
604,1.445907646,1.494193255,0.13681612,0.151022542,0.004518018,0.250411457,7.100515740685388e-05,8.305880085103478e-05,1.6246025792570798e-06,5.00828753377821e-05
614,1.44687098,1.495155206,0.136791141,0.151169079,0.004530296,0.250959977,6.658050464181173e-05,6.433786914827155e-05,1.5294293938567058e-06,7.099823016167891e-05
624,1.447781937,1.495865471,0.137115678,0.151637261,0.004543179,0.251798829,6.292087065872138e-05,4.748187679772523e-05,1.5741607782384183e-06,9.58410809763896e-05
634,1.448678836,1.496549893,0.137368453,0.15174575,0.004554058,0.252808695,6.191151397479286e-05,4.573332323910596e-05,1.3698486255090269e-06,0.00011254838176609414
644,1.449506575,1.497212814,0.137266837,0.152020605,0.00456393,0.253920244,5.710488067292789e-05,4.427700549989969e-05,1.2478226780496137e-06,0.00012239772804012282
654,1.450370445,1.497764986,0.137590965,0.15231993,0.004573841,0.255025872,5.9562024514356247e-05,3.68663979436829e-05,1.2635272297668145e-06,0.0001199646852830837
664,1.45120238,1.498320361,0.137966204,0.152464089,0.004583216,0.2561553,5.732729021572559e-05,3.706650556556273e-05,1.2002433537533405e-06,0.00012243758185309718
674,1.452018347,1.499027338,0.138249759,0.15239902,0.004592118,0.257202935,5.619536431381497e-05,4.7162382037899065e-05,1.1482557439820142e-06,0.0001168938030817436
684,1.45285562,1.499572248,0.138531073,0.152559616,0.004601622,0.258275713,5.7629470435604344e-05,3.633769568132862e-05,1.2155890390047855e-06,0.00011666294426087182
694,1.453724257,1.500123992,0.139003553,0.152677199,0.004610524,0.259318188,5.975252843290417e-05,3.677989305833465e-05,1.1656904664006606e-06,0.00011378519522271983
704,1.454558575,1.500699864,0.139208806,0.152527129,0.004621151,0.260461604,5.735884510530018e-05,3.837356248337591e-05,1.3277638844172062e-06,0.00012433643963561514
714,1.455396445,1.501258511,0.139465671,0.152902712,0.004632385,0.261778712,5.7569880899359916e-05,3.721191226606e-05,1.390085852729954e-06,0.00014145208646406732
724,1.45626538,1.501708545,0.13964237,0.153231311,0.004642868,0.263145023,5.966872603947775e-05,2.9968132065199642e-05,1.325334018729408e-06,0.00014451706480155934
734,1.457129136,1.502212851,0.139820165,0.153411217,0.004654575,0.264573186,5.927793073791048e-05,3.357087510362694e-05,1.4466135744644654e-06,0.00015169825338297844
744,1.457981726,1.502665004,0.139731758,0.153422333,0.004667314,0.266105309,5.8477413317047426e-05,3.0090073223008374e-05,1.5468324498583879e-06,0.0001612194282328409
754,1.45885802,1.503141081,0.139615173,0.153678931,0.00467912,0.267694638,6.006712017115961e-05,3.167214348791221e-05,1.4616612633353252e-06,0.000167411362985678
764,1.459746167,1.503608408,0.139306278,0.153623094,0.004690532,0.26915948,6.084256428124262e-05,3.108036623854539e-05,1.4265839947231963e-06,0.00015484977521497862
774,1.46066953,1.504062783,0.139032867,0.153495048,0.004702162,0.270547906,6.321505179888744e-05,3.020984264324396e-05,1.4602474143967922e-06,0.00014701580966771898
784,1.461551922,1.50443997,0.138992736,0.153448535,0.004714937,0.271882551,6.0373633445219685e-05,2.5071588599178276e-05,1.562157878155263e-06,0.00014028102746596388
794,1.462422408,1.504640696,0.139263314,0.153673754,0.004726638,0.273241938,5.9523568241163615e-05,1.3340460651749873e-05,1.4514463595443016e-06,0.0001395838733223014
804,1.463278361,1.504641059,0.139524499,0.154123197,0.004738408,0.27450427,5.849556877306108e-05,2.412535519122029e-08,1.4541758710388585e-06,0.00012623982251301296
814,1.464164917,1.504382661,0.139923774,0.154602496,0.004749909,0.275717939,6.0550282943296533e-05,-1.717634792654244e-05,1.4377083339048807e-06,0.00011663107275014963
824,1.465049616,1.503874173,0.140317365,0.155339208,0.004761033,0.277029697,6.038696507873006e-05,-3.381187130739548e-05,1.3999043335096325e-06,0.00012180890753670887
834,1.465941965,1.503161351,0.14037189,0.156022319,0.004769358,0.278353461,6.087205505438447e-05,-4.74215226147145e-05,1.1228206227500688e-06,0.00011917645505430496
844,1.46680885,1.502442807,0.140311458,0.156490255,0.004776022,0.279675324,5.910006610609036e-05,-4.782504842461748e-05,9.486632159242262e-07,0.00011881081408652728
854,1.467621583,1.501733536,0.140409569,0.157006547,0.004783475,0.281014606,5.5377558453352574e-05,-4.723014988992474e-05,1.0101971664225786e-06,0.00012065583803736158
864,1.46831937,1.501049611,0.140557319,0.157523412,0.004792987,0.282442402,4.752283558038231e-05,-4.556311763368617e-05,1.178976333139968e-06,0.00012991064361293124
874,1.468868264,1.500386937,0.140779567,0.157969965,0.004803531,0.283864909,3.736849746520373e-05,-4.41668734683188e-05,1.233900735997476e-06,0.0001297132744821029
884,1.469363421,1.49978489,0.141461217,0.158487386,0.004814399,0.285290598,3.369874279727451e-05,-4.014222332911392e-05,1.2490391936244371e-06,0.0001311167011013883
894,1.469790289,1.499204577,0.141981352,0.159064074,0.0048299,0.286645214,2.904278271497926e-05,-3.8708059520548235e-05,1.6903737362351014e-06,0.00012436611999520523
904,1.470074434,1.498585131,0.142291809,0.159369126,0.004845542,0.288052497,1.9328613125174443e-05,-4.133538944074629e-05,1.6578576066998449e-06,0.0001288215378571293
914,1.470345796,1.498063276,0.142641097,0.159539006,0.004859228,0.289417226,1.8455658576241896e-05,-3.483531092180011e-05,1.458280252912088e-06,0.00012639096094616602
924,1.470681476,1.49754377,0.14290146,0.159479997,0.004871972,0.290821542,2.2824792824143817e-05,-3.469053862779973e-05,1.3856017515449725e-06,0.00013034284406344883
934,1.470999317,1.496984017,0.1428999,0.159260165,0.004883873,0.292237709,2.1607148033773382e-05,-3.739204918980155e-05,1.2956265668892283e-06,0.00013068933320995946
944,1.471358237,1.49648343,0.143077889,0.159177672,0.004893788,0.293726004,2.4393787384631357e-05,-3.345088826007821e-05,1.1108780239773833e-06,0.00013900410426111398
954,1.471787697,1.496033136,0.143257487,0.159154288,0.004903574,0.29518456,2.9179480224985306e-05,-3.0099199620934214e-05,1.1216837405647864e-06,0.00013697078100354234
964,1.472252427,1.49560799,0.143428508,0.159115555,0.004917003,0.296534451,3.1565918417061254e-05,-2.8426299059821637e-05,1.4981097155544151e-06,0.00012655972301433316
974,1.472684792,1.495274705,0.143452966,0.15941499,0.004929662,0.297847316,2.9358964141458323e-05,-2.2289215412106033e-05,1.410629769887503e-06,0.00012464771701375802
984,1.473021685,1.495008063,0.143652087,0.159757929,0.00494491,0.299087264,2.2870878509847618e-05,-1.7835489091935962e-05,1.6378944358522e-06,0.00011866043236539566
994,1.473210843,1.494674742,0.143894149,0.159948345,0.004962146,0.300329354,1.2839845762658908e-05,-2.2300570862262758e-05,1.7873131892917416e-06,0.00011751148395910277
1004,1.473284711,1.494358082,0.144455699,0.160059912,0.004981934,0.301508498,5.013830622728018e-06,-2.119036955159778e-05,2.0037785732496717e-06,0.0001115253235044349
1014,1.473213066,1.494020462,0.144882306,0.160462773,0.004999397,0.302785308,-4.863179783935548e-06,-2.2598084068278204e-05,1.7219870335776998e-06,0.00012083863215517266
1024,1.473127244,1.493572363,0.145290276,0.160604981,0.005017696,0.30400635,-5.825837540477776e-06,-3.0001827236540773e-05,1.8006677182765215e-06,0.00011298345400848921
1034,1.473034333,1.493127603,0.145514246,0.160716661,0.005037074,0.305152829,-6.3074565146666105e-06,-2.9787139364801693e-05,1.9060288747838006e-06,0.00010555827015501685
1044,1.472967166,1.492755223,0.145663436,0.160984226,0.005056736,0.306270397,-4.559979444909641e-06,-2.4945817925297586e-05,1.9431413877816805e-06,0.00010411663444053071
1054,1.472983583,1.492369033,0.145531758,0.161202439,0.005078,0.307296152,1.1145405956557615e-06,-2.587764765018245e-05,2.1320596371447405e-06,9.462339845428325e-05
1064,1.473121081,1.491946648,0.145438245,0.16139191,0.005100268,0.308352514,9.333788089341595e-06,-2.8310998960051488e-05,2.274404820710827e-06,9.690643229682001e-05
1074,1.47323983,1.491623324,0.145325798,0.161629413,0.005125226,0.309418712,8.060398421354423e-06,-2.167598178426001e-05,2.5371113635595115e-06,9.991284563497506e-05
1084,1.473428494,1.491382373,0.145375528,0.161989745,0.005149171,0.310476025,1.2804421847969879e-05,-1.6156218845165357e-05,2.4604321576513373e-06,0.00010071518139392339
1094,1.473643536,1.491003318,0.145575876,0.162036735,0.005172786,0.311426363,1.459253847668617e-05,-2.542281398196171e-05,2.4369840787366906e-06,8.711646550437162e-05
