Time,OD,OD,OD,OD,OD,OD,RFP,RFP,RFP,RFP,RFP,RFP,GFP,GFP,GFP,GFP,GFP,GFP
Time,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1,p2,p1
Time,0,0,0.2,0.2,1,1,0,0,0.2,0.2,1,1,0,0,0.2,0.2,1,1
0,0.15,0.067333333,0.101666667,0.055666667,0.11,0.04,67.66666667,33.66666667,66.66666667,23.66666667,76.33333333,27,88150.33333,-550.6666667,78541.33333,150.6666667,79730,-436.3333333
15,0.108666667,0.096333333,0.110666667,0.081,0.125333333,0.077,49.33333333,22.33333333,50,25,63,19.66666667,72900.66667,-861,73826.66667,-430.3333333,87657.66667,-917.3333333
30,0.152333333,0.11,0.137,0.093,0.143,0.078,42,29.66666667,40,25,48.33333333,17.33333333,77653.33333,-1450.666667,78436.66667,-379.6666667,87149,574
45,0.203666667,0.152333333,0.190666667,0.132333333,0.186333333,0.133,40.33333333,25.33333333,36.33333333,24.66666667,43,28,82909.33333,-1923.666667,85488.66667,212,88204,4281.666667
60,0.261666667,0.221333333,0.253,0.207333333,0.238333333,0.193,27,26,33.33333333,23.66666667,28.66666667,7.333333333,89276.66667,-2847,94086.66667,2105.333333,96655,7239.666667
75,0.316666667,0.285333333,0.312666667,0.27,0.295,0.246333333,27,15,25.33333333,11,17.33333333,8.666666667,96345.66667,-3505.666667,105216.6667,7105.666667,115821,18696.33333
90,0.349333333,0.324666667,0.343666667,0.314333333,0.329,0.287666667,24.66666667,13,28.66666667,9.666666667,25,9.333333333,106469.6667,-4115.333333,132863.6667,20444.33333,140297.3333,33982.33333
105,0.381333333,0.357666667,0.375666667,0.346,0.371333333,0.329666667,26,1,25.66666667,11.66666667,25.66666667,9.666666667,117748.6667,-4426,165661.6667,38239.33333,165886.6667,55983.66667
120,0.411,0.393,0.407,0.381,0.398666667,0.362,23.33333333,1.333333333,24.66666667,11,25.33333333,19.66666667,128285.3333,-4817.333333,205209,63090.33333,224644,85000.66667
135,0.443,0.428666667,0.432666667,0.415333333,0.433333333,0.396666667,20,9.666666667,26,13,24.33333333,14,140806.3333,-5246,234037.3333,94632.66667,264139.3333,123081.6667
150,0.474666667,0.463666667,0.463333333,0.451666667,0.462333333,0.428333333,22.33333333,4.666666667,26.66666667,9,35.33333333,3.333333333,153428.3333,-5513.666667,268117.3333,122901,311524,155436
165,0.506333333,0.496333333,0.495,0.488,0.493333333,0.466666667,21.33333333,6.666666667,25.66666667,15.66666667,34.66666667,15.33333333,164083,-5169.333333,301078.3333,157184.6667,355436.3333,189469
180,0.533333333,0.524666667,0.523333333,0.513333333,0.528666667,0.499333333,19,-1.333333333,25.33333333,20.66666667,37,19,174651.6667,-4511,342535,182327,381023.3333,236745.6667
195,0.554333333,0.548666667,0.549666667,0.540333333,0.554,0.525666667,19.33333333,4.333333333,30,12.33333333,46.66666667,22,188049,-3737,382690,215234.3333,426116.3333,274551.3333
210,0.577,0.570666667,0.571333333,0.562333333,0.579333333,0.548,17.66666667,1,38.33333333,20.33333333,41.66666667,27.66666667,199547.6667,-3062,408598.3333,243854,467470.6667,304090.3333
225,0.589,0.587666667,0.586666667,0.583333333,0.597666667,0.570333333,28,8.666666667,32.33333333,19.66666667,42.33333333,26,211263,-1568,430277.6667,279360.6667,510515,320453.6667
240,0.602666667,0.597333333,0.608333333,0.596666667,0.615,0.59,27.66666667,14,42.33333333,20.33333333,47.33333333,29.33333333,223540,59.66666667,456989.3333,303044.3333,532021,345519.6667
255,0.611,0.601666667,0.618,0.607,0.633,0.607,43.33333333,21.33333333,51.33333333,25.66666667,54,27.66666667,235924.6667,1364.333333,491486.6667,320164.6667,572363.6667,376788
270,0.617,0.611,0.629666667,0.617666667,0.645333333,0.621333333,39,14.66666667,55.33333333,26.33333333,57.33333333,29.33333333,249737,2651,516994.6667,337548.6667,607828,392991.6667
285,0.620333333,0.62,0.639,0.626,0.651333333,0.632,51,24,48.66666667,28.33333333,61,45.66666667,260200,3677,545583.3333,358349.3333,638506.3333,423464.6667
300,0.623,0.625,0.645333333,0.634333333,0.657333333,0.639666667,55,30,56.33333333,39.66666667,72.33333333,36.33333333,271315,4895,575854,374158.6667,667437.3333,443154.3333
