,x,x,R_frac,R_frac,H_frac,H_frac,mu,mu,syn_H,syn_H
,0,1,0,1,0,1,0,1,0,1
4,0.11,0.1,0.185262679,0.194884036,0.031642571,0.034674432,0,0,0,0
14,0.108791782,0.098791782,0.187732162,0.198175146,0.031957539,0.035138293,-0.001110579,-0.001222995,-3.99E-06,3.41E-06
24,0.109114296,0.099242717,0.185148481,0.195582334,0.031857817,0.035018907,0.000295575,0.000454376,-5.56E-07,3.97E-06
34,0.110143339,0.100401379,0.182710921,0.193066793,0.031564968,0.03469539,0.000934276,0.00115403,2.06E-07,7.69E-06
44,0.111599495,0.101851807,0.182412345,0.192491161,0.031172311,0.034345078,0.001304806,0.001424057,1.41E-06,1.39E-05
54,0.113679573,0.103826392,0.183260968,0.194403,0.030631366,0.033975757,0.001829772,0.001901814,1.95E-06,2.77E-05
64,0.117360549,0.107336787,0.183212891,0.195563795,0.029733448,0.033408596,0.003136469,0.003270449,3.47E-06,5.25E-05
74,0.122173149,0.111878889,0.184745426,0.197865689,0.02865769,0.032985155,0.003939163,0.004059839,5.31E-06,9.16E-05
84,0.127994366,0.117539642,0.187288037,0.199824073,0.027476911,0.032929331,0.004548026,0.004816037,6.89E-06,0.000153007
94,0.135021429,0.12453978,0.188019597,0.198654339,0.02617989,0.033491262,0.005204406,0.005620805,6.55E-06,0.000244441
104,0.143497252,0.132876137,0.185650503,0.193553125,0.02478383,0.034986591,0.00590661,0.006273781,6.78E-06,0.000369031
114,0.153506376,0.142616599,0.181377709,0.186178647,0.02331992,0.037623443,0.006520331,0.006829823,5.66E-06,0.000520647
124,0.164957203,0.153833378,0.175468126,0.179239885,0.021846299,0.041477758,0.006941696,0.007291512,4.29E-06,0.000687867
134,0.178129028,0.166411907,0.167909687,0.171316794,0.020367755,0.046545517,0.007394542,0.007558671,2.76E-06,0.000858598
144,0.193392606,0.180490813,0.158894086,0.164602421,0.018899505,0.052658006,0.007892534,0.007800345,2.34E-06,0.001022
154,0.211299779,0.196450799,0.149885915,0.157731272,0.017429067,0.059480331,0.008474771,0.008124165,6.64E-07,0.00116546
164,0.232141696,0.214284884,0.141333451,0.151462901,0.015994677,0.066674921,0.008978101,0.008322605,1.63E-07,0.001274368
174,0.256218598,0.233894258,0.132850982,0.144882968,0.014620475,0.073954972,0.009397016,0.008383863,-3.14E-08,0.001348033
184,0.283566775,0.255558685,0.1248993,0.139428027,0.013340407,0.081044986,0.009644352,0.008477281,6.53E-07,0.001396042
194,0.313821424,0.279809353,0.118740294,0.133816942,0.01218175,0.087572606,0.009640721,0.008666854,1.58E-06,0.001411741
204,0.346858677,0.307091086,0.113004563,0.129011516,0.011142692,0.093329457,0.009524701,0.008883922,2.23E-06,0.001404817
214,0.382954442,0.337876265,0.107567059,0.1245188,0.010209952,0.098203994,0.009425603,0.009111377,2.96E-06,0.001382227
224,0.422270916,0.372425324,0.102852565,0.120417144,0.009374143,0.102273289,0.009310723,0.009276775,3.70E-06,0.001355696
234,0.464659894,0.410609887,0.098932977,0.116360721,0.008628965,0.10567771,0.009122582,0.009299475,4.20E-06,0.001323189
244,0.509688687,0.451803632,0.094881298,0.112242446,0.007970022,0.108647195,0.008834568,0.009117621,4.52E-06,0.001287552
