,x,x,R,R,H,H,mu,mu,syn_H,syn_H
,0,1,0,1,0,1,0,1,0,1
4,0.12,0.107,0.1673508058502116,0.1710339110509247,0.0291347216527077,0.0324332751650189,,,,
14,0.1169794544045201,0.106395890880904,0.1712887908601341,0.184228480015866,0.0299035279491959,0.0326531048568319,-0.0025821163304751973,-0.0005677936564037251,-3.337582076199915e-07,3.4427433817052276e-06
24,0.1152085865426444,0.1059213946347061,0.1716105797836219,0.1872528007524393,0.0303697949877137,0.0328216029935905,-0.0015370971166460802,-0.00044797016488907446,-5.462045696736918e-08,2.146714770897578e-06
34,0.1140395005948791,0.105443378184251,0.176026552439629,0.1895072245253268,0.0306878081002546,0.0330172966247677,-0.0010251587753952285,-0.00045333946871449726,3.4143548246913893e-07,4.601319407458604e-06
44,0.1133515110989819,0.1051826572884778,0.1809627977422396,0.1936357562371514,0.0308806076584522,0.0332268324225423,-0.0006069522048951243,-0.0002478744143705507,5.369029129611438e-07,1.2717498149333915e-05
54,0.112210874542476,0.1048934705924169,0.1893089370768419,0.203480811953848,0.0312119078977477,0.033659221932514,-0.0010165116002853396,-0.0002756956123461573,1.4027574844518293e-06,3.3959251195390556e-05
64,0.1113143337217791,0.1046397370395651,0.2013369729803394,0.2127691741178802,0.0315033600971134,0.034560763734715,-0.000805413634274387,-0.00024248298020460382,3.7719841888993994e-06,8.1773783231559e-05
74,0.1110823315687597,0.1046602424507203,0.2173783965369084,0.2243708830509579,0.0316461855489498,0.0361176144295603,-0.0002088560347473342,1.959235969174472e-05,7.673048355008036e-06,0.00015639269877764218
84,0.1113073243098922,0.1050215724062513,0.2307689943995456,0.2373815080970892,0.0317065537381337,0.0386130294197163,0.00020213651035765683,0.00034405308095491934,1.244587104648345e-05,0.0002628264307524557
94,0.111851837603912,0.1056320383179334,0.2424379327401415,0.2482558991615265,0.031740967181158,0.0423199041229663,0.00048681658315532285,0.0005779173832135124,1.8893373491606756e-05,0.000395144878573592
